areas	housing_type	room_type	room_type
central	mdu	Entire home/apt	1257
central	mdu	Hotel room	19
central	mdu	Private room	181
central	mdu	Shared room	9
central	sdu	Entire home/apt	498
central	sdu	Hotel room	9
central	sdu	Private room	230
central	sdu	Shared room	12
east	mdu	Entire home/apt	86
east	mdu	Private room	20
east	mdu	Shared room	1
east	sdu	Entire home/apt	114
east	sdu	Private room	90
north	mdu	Entire home/apt	14
north	mdu	Private room	6
north	sdu	Entire home/apt	15
north	sdu	Private room	6
northeast	mdu	Entire home/apt	56
northeast	mdu	Private room	30
northeast	mdu	Shared room	1
northeast	sdu	Entire home/apt	75
northeast	sdu	Private room	116
northeast	sdu	Shared room	6
northwest	mdu	Entire home/apt	368
northwest	mdu	Hotel room	6
northwest	mdu	Private room	52
northwest	mdu	Shared room	1
northwest	sdu	Entire home/apt	438
northwest	sdu	Private room	105
northwest	sdu	Shared room	4
south	mdu	Entire home/apt	265
south	mdu	Private room	28
south	mdu	Shared room	2
south	sdu	Entire home/apt	242
south	sdu	Hotel room	2
south	sdu	Private room	147
south	sdu	Shared room	4
southeast	mdu	Entire home/apt	88
southeast	mdu	Hotel room	1
southeast	mdu	Private room	57
southeast	mdu	Shared room	15
southeast	sdu	Entire home/apt	42
southeast	sdu	Hotel room	2
southeast	sdu	Private room	54
southeast	sdu	Shared room	3
southwest	mdu	Entire home/apt	11
southwest	mdu	Private room	10
southwest	mdu	Shared room	5
southwest	sdu	Entire home/apt	6
southwest	sdu	Private room	8
west	mdu	Entire home/apt	7
west	mdu	Private room	3
west	sdu	Entire home/apt	5
